,EUA_xts,EUA_futures_xts,oil_xts,gas_xts,electricity_xts,coal_xts,DAX_xts,BE500_xts,Temp_xts
20/03/2016,-0.000486405,0.000291248,0.005989684,0.006029114,-0.011651682,0.000733543,0.000174466,-6.69E-05,-0.000145374
27/03/2016,-0.003152837,-0.003236861,-0.000408496,-0.011039503,-0.401727723,-0.002782082,-0.00109624,-0.000513706,0.009936704
03/04/2016,0.013670069,0.013525524,-0.015237569,0.002307525,0.411756903,-0.002433621,-0.000876187,0.002425652,0.018728885
10/04/2016,0.006546922,0.006612897,0.015105656,-0.007420192,-0.020026537,-0.000522678,-0.002203329,-0.001523057,-0.006871507
17/04/2016,-0.00104149,-0.001820965,0.000594338,0.007101501,0.002044287,0.002266872,0.00628567,0.001776549,0.010179895
24/04/2016,0.009864835,0.011562161,0.011245833,0.015954131,0.0145192,0.000514464,0.003125266,-0.003545451,-0.018975242
01/05/2016,0.005795126,0.005137878,0.003932322,-0.001392674,0.00704961,-0.000233618,-0.003156772,-0.001853401,0.014696658
08/05/2016,-0.005046749,-0.009459343,-0.001003702,-0.006540678,-0.126703296,-0.001050216,-0.004512461,-0.008258607,0.022438708
15/05/2016,0.003517864,0.004574815,0.011658335,-0.000159901,-0.005195378,0.000754612,-0.000317833,0.001476788,-0.017506298
22/05/2016,-0.00300763,-0.002114528,0.003583731,0.001662914,0.048674782,0.000937694,-0.000789473,0.002763143,0.01819354
29/05/2016,0.006739037,0.005815451,0.00459412,0.008103976,-0.023421254,0.004507779,0.006381123,0.007227502,0.007980922
05/06/2016,0.000781496,0.000467618,-0.002484062,0.01739702,0.029590773,0.004939643,-0.002830985,-0.002199143,-0.002000994
12/06/2016,-0.005319552,-0.005391475,-0.000131655,-0.009381028,-0.005827813,-0.003722295,-0.005743977,-0.005330361,-0.003375705
19/06/2016,-0.002529956,-0.002362676,-0.000340673,-0.00541815,-0.011890461,-0.000765268,0.00197553,-0.000501167,0.005328666
26/06/2016,-0.025634837,-0.02566855,-0.003598775,0.015972894,0.004228859,0.002461186,-0.007241908,-0.004241984,0.010034167
03/07/2016,0,0.000294652,0.002688169,-0.006703094,0.014933134,0.013171394,0.005485767,0.00614656,-0.004775535
10/07/2016,-0.011483942,-0.011541005,-0.007893158,-0.001066524,-0.028636354,0.00152919,0.000499127,0.002252472,0.008761066
